(-0.830089,  0.258170,  -0.564730),  (0.280764,  0.257415)
(-0.830089,  0.257070,  -0.565010),  (0.302198,  0.677840)
(-0.831625,  0.257070,  -0.564730),  (0.280750,  0.257849)
(-0.831625,  0.186462,  -0.564730),  (0.280750,  0.286110)
(-0.830089,  0.186462,  -0.565010),  (0.301724,  0.607314)
(-0.830089,  0.185362,  -0.564730),  (0.280786,  0.286578)
(-0.319807,  0.258170,  -0.564730),  (0.280786,  0.052523)
(-0.318270,  0.257070,  -0.564730),  (0.280750,  0.052058)
(-0.828642,  0.184919,  0.416912),  (0.967849,  0.286937)
(-0.828642,  0.187498,  0.417569),  (0.880823,  0.611549)
(-0.832244,  0.187498,  0.416912),  (0.967858,  0.285728)
(-0.832244,  0.256034,  0.416912),  (0.967849,  0.258324)
(-0.828642,  0.256034,  0.417569),  (0.880823,  0.673984)
(-0.828642,  0.258613,  0.416912),  (0.967853,  0.257115)
(-0.317652,  0.187498,  0.416912),  (0.967849,  0.024244)
(-0.321254,  0.187498,  0.417569),  (0.610340,  0.611549)
(-0.321254,  0.184919,  0.416912),  (0.967853,  0.491194)
(-0.321254,  0.258613,  0.416912),  (0.967849,  0.052858)
(-0.321254,  0.256034,  0.417569),  (0.610340,  0.673984)
(-0.317652,  0.256034,  0.416912),  (0.967858,  0.051649)
(-0.321254,  0.187498,  -0.565123),  (0.595757,  0.609239)
(-0.317652,  0.187498,  -0.564466),  (0.280962,  0.024246)
(-0.321254,  0.184919,  -0.564466),  (0.280965,  0.491194)
(-0.321254,  0.258613,  -0.564466),  (0.280962,  0.052859)
(-0.317652,  0.256034,  -0.564466),  (0.280965,  0.051650)
(-0.321254,  0.256034,  -0.565123),  (0.595757,  0.676800)
(-0.832244,  0.187498,  -0.564466),  (0.280965,  0.285729)
(-0.828642,  0.187498,  -0.565123),  (0.303067,  0.609239)
(-0.828642,  0.184919,  -0.564466),  (0.280962,  0.286938)
(-0.828642,  0.258613,  -0.564466),  (0.280965,  0.257115)
(-0.828642,  0.256034,  -0.565123),  (0.303067,  0.676800)
(-0.832244,  0.256034,  -0.564466),  (0.280962,  0.258324)
(-0.831784,  0.187498,  0.417233),  (0.882857,  0.611365)
(-0.830403,  0.187498,  0.417485),  (0.881802,  0.611525)
(-0.828642,  0.186237,  0.417485),  (0.880868,  0.610362)
(-0.828642,  0.185248,  0.417233),  (0.881029,  0.609046)
(-0.830403,  0.185248,  0.416912),  (0.967845,  0.286665)
(-0.831784,  0.186237,  0.416912),  (0.967886,  0.286224)
(-0.828642,  0.258283,  0.417233),  (0.881309,  0.679278)
(-0.828642,  0.257295,  0.417485),  (0.880703,  0.676340)
(-0.830403,  0.256034,  0.417485),  (0.882231,  0.674177)
(-0.831784,  0.256034,  0.417233),  (0.883677,  0.674220)
(-0.831784,  0.257295,  0.416912),  (0.967870,  0.257836)
(-0.830403,  0.258283,  0.416912),  (0.967858,  0.257388)
(-0.321254,  0.185248,  0.417233),  (0.609854,  0.606255)
(-0.321254,  0.186237,  0.417485),  (0.610459,  0.609193)
(-0.319492,  0.187498,  0.417485),  (0.608932,  0.611356)
(-0.318112,  0.187498,  0.417233),  (0.607486,  0.611313)
(-0.318112,  0.186237,  0.416912),  (0.967871,  0.023756)
(-0.319492,  0.185248,  0.416912),  (0.967894,  0.023308)
(-0.318112,  0.256034,  0.417233),  (0.608306,  0.674168)
(-0.319492,  0.256034,  0.417485),  (0.609360,  0.674008)
(-0.321254,  0.257295,  0.417485),  (0.610294,  0.675170)
(-0.321254,  0.258283,  0.417233),  (0.610134,  0.676486)
(-0.319492,  0.258283,  0.416912),  (0.967845,  0.052586)
(-0.318112,  0.257295,  0.416912),  (0.967886,  0.052144)
(-0.319492,  0.185248,  -0.564466),  (0.280946,  0.023308)
(-0.318112,  0.186237,  -0.564466),  (0.280922,  0.023750)
(-0.318112,  0.187498,  -0.564787),  (0.280750,  0.024224)
(-0.319492,  0.187498,  -0.565039),  (0.596816,  0.609230)
(-0.321254,  0.186237,  -0.565039),  (0.595812,  0.607959)
(-0.321254,  0.185248,  -0.564787),  (0.595991,  0.606536)
(-0.319492,  0.256034,  -0.565039),  (0.597281,  0.676999)
(-0.318112,  0.256034,  -0.564787),  (0.280750,  0.051679)
(-0.318112,  0.257295,  -0.564466),  (0.280947,  0.052138)
(-0.319492,  0.258283,  -0.564466),  (0.280959,  0.052586)
(-0.321254,  0.258283,  -0.564787),  (0.596292,  0.682525)
(-0.321254,  0.257295,  -0.565039),  (0.595633,  0.679347)
(-0.828642,  0.185248,  -0.564787),  (0.302541,  0.603510)
(-0.828642,  0.186237,  -0.565039),  (0.303196,  0.606689)
(-0.830403,  0.187498,  -0.565039),  (0.301543,  0.609030)
(-0.831784,  0.187498,  -0.564787),  (0.299979,  0.608984)
(-0.831784,  0.186237,  -0.564466),  (0.280948,  0.286218)
(-0.830403,  0.185248,  -0.564466),  (0.280960,  0.286665)
(-0.831784,  0.256034,  -0.564787),  (0.300866,  0.676999)
(-0.830403,  0.256034,  -0.565039),  (0.302007,  0.676826)
(-0.828642,  0.257295,  -0.565039),  (0.303017,  0.678084)
(-0.828642,  0.258283,  -0.564787),  (0.302844,  0.679508)
(-0.830403,  0.258283,  -0.564466),  (0.280961,  0.257388)
(-0.831784,  0.257295,  -0.564466),  (0.280922,  0.257829)
(-0.831625,  0.186462,  0.417176),  (0.968065,  0.286120)
(-0.830089,  0.186462,  0.417456),  (0.881626,  0.610589)
(-0.830089,  0.185362,  0.417176),  (0.968050,  0.286545)
(-0.830089,  0.258170,  0.417176),  (0.968029,  0.257388)
(-0.830089,  0.257070,  0.417456),  (0.882064,  0.675763)
(-0.831625,  0.257070,  0.417176),  (0.968065,  0.257846)
(-0.319807,  0.185362,  0.417176),  (0.968023,  0.491467)
(-0.319807,  0.186462,  0.417456),  (0.609098,  0.609770)
(-0.318270,  0.186462,  0.417176),  (0.968065,  0.023766)
(-0.318270,  0.257070,  0.417176),  (0.968065,  0.052040)
(-0.319807,  0.257070,  0.417456),  (0.609537,  0.674944)
(-0.319807,  0.258170,  0.417176),  (0.968050,  0.052465)
(-0.319807,  0.185362,  -0.564730),  (0.280776,  0.491467)
(-0.318270,  0.186462,  -0.564730),  (0.280750,  0.023794)
(-0.319807,  0.186462,  -0.565010),  (0.596631,  0.608211)
(-0.319807,  0.257070,  -0.565010),  (0.597104,  0.678717)
(-0.287755,  0.258170,  -0.572042),  (0.968029,  0.257388)
(-0.287755,  0.257070,  -0.572322),  (0.882064,  0.675763)
(-0.289292,  0.257070,  -0.572042),  (0.968065,  0.257846)
(-0.289292,  0.186462,  -0.572042),  (0.968065,  0.286120)
(-0.287755,  0.186462,  -0.572322),  (0.881626,  0.610589)
(-0.287755,  0.185362,  -0.572042),  (0.968050,  0.286545)
(0.222527,  0.258170,  -0.572042),  (0.968050,  0.052465)
(0.224063,  0.257070,  -0.572042),  (0.968065,  0.052040)
(-0.286308,  0.184919,  0.424224),  (0.280962,  0.286938)
(-0.286308,  0.187498,  0.424881),  (0.303067,  0.609239)
(-0.289910,  0.187498,  0.424224),  (0.280965,  0.285729)
(-0.289910,  0.256034,  0.424224),  (0.280962,  0.258324)
(-0.286308,  0.256034,  0.424881),  (0.303067,  0.676800)
(-0.286308,  0.258613,  0.424224),  (0.280965,  0.257115)
(0.224682,  0.187498,  0.424224),  (0.280962,  0.024246)
(0.221080,  0.187498,  0.424881),  (0.595757,  0.609239)
(0.221080,  0.184919,  0.424224),  (0.280965,  0.491194)
(0.221080,  0.258613,  0.424224),  (0.280962,  0.052859)
(0.221080,  0.256034,  0.424881),  (0.595757,  0.676800)
(0.224682,  0.256034,  0.424224),  (0.280965,  0.051650)
(0.221080,  0.187498,  -0.572435),  (0.610340,  0.611549)
(0.224682,  0.187498,  -0.571778),  (0.967849,  0.024244)
(0.221080,  0.184919,  -0.571778),  (0.967853,  0.491194)
(0.221080,  0.258613,  -0.571778),  (0.967849,  0.052858)
(0.224682,  0.256034,  -0.571778),  (0.967858,  0.051649)
(0.221080,  0.256034,  -0.572435),  (0.610340,  0.673984)
(-0.289910,  0.187498,  -0.571778),  (0.967858,  0.285728)
(-0.286308,  0.187498,  -0.572435),  (0.880823,  0.611549)
(-0.286308,  0.184919,  -0.571778),  (0.967849,  0.286937)
(-0.286308,  0.258613,  -0.571778),  (0.967853,  0.257115)
(-0.286308,  0.256034,  -0.572435),  (0.880823,  0.673984)
(-0.289910,  0.256034,  -0.571778),  (0.967849,  0.258324)
(-0.289450,  0.187498,  0.424545),  (0.299979,  0.608984)
(-0.288070,  0.187498,  0.424797),  (0.301543,  0.609030)
(-0.286308,  0.186237,  0.424797),  (0.303196,  0.606689)
(-0.286308,  0.185248,  0.424545),  (0.302541,  0.603510)
(-0.288070,  0.185248,  0.424224),  (0.280960,  0.286665)
(-0.289450,  0.186237,  0.424224),  (0.280948,  0.286218)
(-0.286308,  0.258283,  0.424545),  (0.302844,  0.679508)
(-0.286308,  0.257295,  0.424797),  (0.303017,  0.678084)
(-0.288070,  0.256034,  0.424797),  (0.302007,  0.676826)
(-0.289450,  0.256034,  0.424545),  (0.300866,  0.676999)
(-0.289450,  0.257295,  0.424224),  (0.280922,  0.257829)
(-0.288070,  0.258283,  0.424224),  (0.280961,  0.257388)
(0.221080,  0.185248,  0.424545),  (0.595991,  0.606536)
(0.221080,  0.186237,  0.424797),  (0.595812,  0.607959)
(0.222841,  0.187498,  0.424797),  (0.596816,  0.609230)
(0.224222,  0.187498,  0.424545),  (0.597959,  0.609062)
(0.224222,  0.186237,  0.424224),  (0.280922,  0.023750)
(0.222841,  0.185248,  0.424224),  (0.280946,  0.023308)
(0.224222,  0.256034,  0.424545),  (0.598846,  0.677043)
(0.222841,  0.256034,  0.424797),  (0.597281,  0.676999)
(0.221080,  0.257295,  0.424797),  (0.595633,  0.679347)
(0.221080,  0.258283,  0.424545),  (0.596292,  0.682525)
(0.222841,  0.258283,  0.424224),  (0.280959,  0.052586)
(0.224222,  0.257295,  0.424224),  (0.280947,  0.052138)
(0.222841,  0.185248,  -0.571778),  (0.967894,  0.023308)
(0.224222,  0.186237,  -0.571778),  (0.967871,  0.023756)
(0.224222,  0.187498,  -0.572100),  (0.968065,  0.024136)
(0.222841,  0.187498,  -0.572351),  (0.608932,  0.611356)
(0.221080,  0.186237,  -0.572351),  (0.610459,  0.609193)
(0.221080,  0.185248,  -0.572100),  (0.609854,  0.606255)
(0.222841,  0.256034,  -0.572351),  (0.609360,  0.674008)
(0.224222,  0.256034,  -0.572100),  (0.968065,  0.051595)
(0.224222,  0.257295,  -0.571778),  (0.967886,  0.052144)
(0.222841,  0.258283,  -0.571778),  (0.967845,  0.052586)
(0.221080,  0.258283,  -0.572100),  (0.610134,  0.676486)
(0.221080,  0.257295,  -0.572351),  (0.610294,  0.675170)
(-0.286308,  0.185248,  -0.572100),  (0.881029,  0.609046)
(-0.286308,  0.186237,  -0.572351),  (0.880868,  0.610362)
(-0.288070,  0.187498,  -0.572351),  (0.881802,  0.611525)
(-0.289450,  0.187498,  -0.572100),  (0.882857,  0.611365)
(-0.289450,  0.186237,  -0.571778),  (0.967886,  0.286224)
(-0.288070,  0.185248,  -0.571778),  (0.967845,  0.286665)
(-0.289450,  0.256034,  -0.572100),  (0.883677,  0.674220)
(-0.288070,  0.256034,  -0.572351),  (0.882231,  0.674177)
(-0.286308,  0.257295,  -0.572351),  (0.880703,  0.676340)
(-0.286308,  0.258283,  -0.572100),  (0.881309,  0.679278)
(-0.288070,  0.258283,  -0.571778),  (0.967858,  0.257388)
(-0.289450,  0.257295,  -0.571778),  (0.967870,  0.257836)
(-0.289292,  0.186462,  0.424488),  (0.280750,  0.286110)
(-0.287755,  0.186462,  0.424768),  (0.301724,  0.607314)
(-0.287755,  0.185362,  0.424488),  (0.280786,  0.286578)
(-0.287755,  0.258170,  0.424488),  (0.280764,  0.257415)
(-0.287755,  0.257070,  0.424768),  (0.302198,  0.677840)
(-0.289292,  0.257070,  0.424488),  (0.280750,  0.257849)
(0.222527,  0.185362,  0.424488),  (0.280776,  0.491467)
(0.222527,  0.186462,  0.424768),  (0.596631,  0.608211)
(0.224063,  0.186462,  0.424488),  (0.280750,  0.023794)
(0.224063,  0.257070,  0.424488),  (0.280750,  0.052058)
(0.222527,  0.257070,  0.424768),  (0.597104,  0.678717)
(0.222527,  0.258170,  0.424488),  (0.280786,  0.052523)
(0.222527,  0.185362,  -0.572042),  (0.968023,  0.491467)
(0.224063,  0.186462,  -0.572042),  (0.968065,  0.023766)
(0.222527,  0.186462,  -0.572322),  (0.609098,  0.609770)
(0.222527,  0.257070,  -0.572322),  (0.609537,  0.674944)
(0.252051,  0.258170,  -0.574726),  (0.968029,  0.257388)
(0.252051,  0.257070,  -0.575006),  (0.882064,  0.675763)
(0.250515,  0.257070,  -0.574726),  (0.968065,  0.257846)
(0.250515,  0.186462,  -0.574726),  (0.968065,  0.286120)
(0.252051,  0.186462,  -0.575006),  (0.881626,  0.610589)
(0.252051,  0.185362,  -0.574726),  (0.968050,  0.286545)
(0.762334,  0.258170,  -0.574726),  (0.968050,  0.052465)
(0.763870,  0.257070,  -0.574726),  (0.968065,  0.052040)
(0.253499,  0.184919,  0.421540),  (0.280962,  0.286938)
(0.253499,  0.187498,  0.422197),  (0.303067,  0.609239)
(0.249897,  0.187498,  0.421540),  (0.280965,  0.285729)
(0.249897,  0.256034,  0.421540),  (0.280962,  0.258324)
(0.253499,  0.256034,  0.422197),  (0.303067,  0.676800)
(0.253499,  0.258613,  0.421540),  (0.280965,  0.257115)
(0.764489,  0.187498,  0.421540),  (0.280962,  0.024246)
(0.760886,  0.187498,  0.422197),  (0.595757,  0.609239)
(0.760886,  0.184919,  0.421540),  (0.280965,  0.491194)
(0.760886,  0.258613,  0.421540),  (0.280962,  0.052859)
(0.760886,  0.256034,  0.422197),  (0.595757,  0.676800)
(0.764489,  0.256034,  0.421540),  (0.280965,  0.051650)
(0.760886,  0.187498,  -0.575119),  (0.610340,  0.611549)
(0.764489,  0.187498,  -0.574462),  (0.967849,  0.024244)
(0.760886,  0.184919,  -0.574462),  (0.967853,  0.491194)
(0.760886,  0.258613,  -0.574462),  (0.967849,  0.052858)
(0.764489,  0.256034,  -0.574462),  (0.967858,  0.051649)
(0.760886,  0.256034,  -0.575119),  (0.610340,  0.673984)
(0.249897,  0.187498,  -0.574462),  (0.967858,  0.285728)
(0.253499,  0.187498,  -0.575119),  (0.880823,  0.611549)
(0.253499,  0.184919,  -0.574462),  (0.967849,  0.286937)
(0.253499,  0.258613,  -0.574462),  (0.967853,  0.257115)
(0.253499,  0.256034,  -0.575119),  (0.880823,  0.673984)
(0.249897,  0.256034,  -0.574462),  (0.967849,  0.258324)
(0.250357,  0.187498,  0.421861),  (0.299979,  0.608984)
(0.251737,  0.187498,  0.422113),  (0.301543,  0.609030)
(0.253499,  0.186237,  0.422113),  (0.303196,  0.606689)
(0.253499,  0.185248,  0.421861),  (0.302541,  0.603510)
(0.251737,  0.185248,  0.421540),  (0.280960,  0.286665)
(0.250357,  0.186237,  0.421540),  (0.280948,  0.286218)
(0.253499,  0.258283,  0.421861),  (0.302844,  0.679508)
(0.253499,  0.257295,  0.422113),  (0.303017,  0.678084)
(0.251737,  0.256034,  0.422113),  (0.302007,  0.676826)
(0.250357,  0.256034,  0.421861),  (0.300866,  0.676999)
(0.250357,  0.257295,  0.421540),  (0.280922,  0.257829)
(0.251737,  0.258283,  0.421540),  (0.280961,  0.257388)
(0.760886,  0.185248,  0.421861),  (0.595991,  0.606536)
(0.760886,  0.186237,  0.422113),  (0.595812,  0.607959)
(0.762648,  0.187498,  0.422113),  (0.596816,  0.609230)
(0.764028,  0.187498,  0.421861),  (0.597959,  0.609062)
(0.764028,  0.186237,  0.421540),  (0.280922,  0.023750)
(0.762648,  0.185248,  0.421540),  (0.280946,  0.023308)
(0.764028,  0.256034,  0.421861),  (0.598846,  0.677043)
(0.762648,  0.256034,  0.422113),  (0.597281,  0.676999)
(0.760886,  0.257295,  0.422113),  (0.595633,  0.679347)
(0.760886,  0.258283,  0.421861),  (0.596292,  0.682525)
(0.762648,  0.258283,  0.421540),  (0.280959,  0.052586)
(0.764028,  0.257295,  0.421540),  (0.280947,  0.052138)
(0.762648,  0.185248,  -0.574462),  (0.967894,  0.023308)
(0.764028,  0.186237,  -0.574462),  (0.967871,  0.023756)
(0.764028,  0.187498,  -0.574783),  (0.968065,  0.024136)
(0.762648,  0.187498,  -0.575035),  (0.608932,  0.611356)
(0.760886,  0.186237,  -0.575035),  (0.610459,  0.609193)
(0.760886,  0.185248,  -0.574783),  (0.609854,  0.606255)
(0.762648,  0.256034,  -0.575035),  (0.609360,  0.674008)
(0.764028,  0.256034,  -0.574783),  (0.968065,  0.051595)
(0.764028,  0.257295,  -0.574462),  (0.967886,  0.052144)
(0.762648,  0.258283,  -0.574462),  (0.967845,  0.052586)
