(292, 363, 326)
(326, 363, 43)
(314, 358, 123)
(123, 358, 336)
(214, 92, 93)
(92, 214, 101)
(312, 308, 76)
(76, 308, 253)
(132, 126, 327)
(126, 132, 334)
(346, 263, 200)
(200, 263, 131)
(193, 148, 17)
(193, 17, 97)
(48, 147, 18)
(147, 48, 175)
(97, 17, 128)
(97, 128, 6)
(33, 207, 112)
(207, 33, 7)
(213, 85, 189)
(213, 189, 206)
(5, 2, 216)
(216, 2, 3)
(227, 353, 108)
(108, 127, 227)
(353, 144, 21)
(21, 108, 353)
(144, 146, 31)
(31, 21, 144)
(146, 227, 127)
(127, 31, 146)
(72, 287, 49)
(49, 287, 116)
(360, 91, 100)
(100, 91, 331)
(300, 225, 135)
(300, 135, 66)
(301, 258, 4)
(4, 343, 301)
(96, 112, 249)
(112, 96, 33)
(346, 0, 8)
(8, 263, 346)
(291, 200, 131)
(131, 276, 291)
(32, 307, 309)
(307, 325, 309)
(47, 345, 107)
(107, 345, 199)
(129, 202, 9)
(9, 202, 203)
(48, 18, 118)
(118, 302, 48)
(325, 307, 235)
(235, 347, 325)
(142, 166, 348)
(348, 217, 142)
(231, 249, 328)
(249, 231, 96)
(218, 198, 58)
(58, 254, 218)
(149, 349, 236)
(236, 164, 149)
(217, 348, 337)
(217, 337, 208)
(303, 219, 150)
(150, 73, 303)
(299, 102, 171)
(171, 102, 176)
(212, 239, 152)
(152, 220, 212)
(340, 45, 124)
(124, 45, 341)
(304, 279, 25)
(304, 25, 105)
(145, 90, 274)
(274, 277, 145)
(296, 335, 356)
(356, 215, 296)
(274, 51, 277)
(51, 274, 28)
(65, 94, 222)
(65, 222, 177)
(215, 243, 29)
(243, 215, 356)
(62, 172, 95)
(95, 172, 22)
(329, 259, 293)
(293, 294, 329)
(173, 156, 59)
(59, 156, 168)
(130, 39, 285)
(285, 357, 130)
(357, 285, 77)
(77, 317, 357)
(306, 103, 79)
(79, 103, 180)
(294, 86, 87)
(86, 294, 293)
(259, 329, 92)
(92, 101, 259)
(326, 43, 26)
(26, 260, 326)
(363, 292, 46)
(46, 155, 363)
(338, 192, 71)
(71, 266, 338)
(90, 214, 93)
(214, 90, 145)
(335, 296, 126)
(126, 334, 335)
(19, 332, 182)
(182, 52, 19)
(39, 132, 327)
(132, 39, 130)
(157, 136, 179)
(136, 157, 137)
(138, 250, 61)
(61, 250, 245)
(140, 111, 139)
(139, 111, 113)
(149, 164, 198)
(198, 164, 58)
(344, 78, 320)
(78, 344, 251)
(201, 321, 185)
(201, 185, 322)
(186, 305, 350)
(305, 186, 20)
(246, 228, 184)
(184, 228, 10)
(99, 240, 183)
(240, 99, 122)
(11, 12, 13)
(13, 12, 342)
(63, 41, 143)
(41, 63, 229)
(282, 181, 195)
(181, 282, 283)
(14, 264, 311)
(311, 264, 247)
(330, 351, 134)
(351, 330, 110)
(323, 210, 209)
(209, 210, 297)
(339, 352, 273)
(339, 273, 27)
(6, 128, 15)
(6, 15, 223)
(154, 359, 50)
(359, 154, 361)
(248, 268, 83)
(268, 248, 204)
(34, 295, 196)
(34, 196, 267)
(159, 163, 169)
(169, 163, 255)
(284, 161, 256)
(256, 161, 298)
(67, 257, 74)
(257, 67, 119)
(23, 190, 121)
(121, 190, 167)
(275, 187, 120)
(275, 120, 318)
(58, 164, 72)
(58, 72, 49)
(160, 57, 55)
(55, 57, 30)
(57, 343, 30)
(30, 343, 4)
(84, 295, 141)
(141, 295, 34)
(170, 237, 354)
(170, 354, 56)
(313, 42, 162)
(313, 162, 44)
(106, 197, 237)
(106, 237, 170)
(265, 133, 42)
(265, 42, 313)
(341, 45, 197)
(341, 197, 106)
(22, 172, 133)
(22, 133, 265)
(301, 142, 258)
(142, 301, 166)
(194, 269, 68)
(269, 194, 35)
(36, 252, 81)
(81, 252, 69)
(362, 117, 333)
(117, 362, 98)
(188, 37, 165)
(188, 165, 24)
(230, 205, 1)
(1, 205, 88)
(221, 38, 272)
(272, 38, 109)
(224, 270, 153)
(270, 224, 104)
(324, 271, 319)
(319, 271, 178)
(355, 82, 80)
(80, 82, 238)
(16, 262, 211)
(211, 262, 60)
(286, 151, 158)
(151, 286, 174)
(281, 70, 40)
(70, 281, 64)
(75, 310, 54)
(75, 54, 114)
(232, 241, 89)
(232, 89, 278)
(242, 244, 315)
(242, 315, 316)
(316, 315, 233)
(316, 233, 234)
(191, 125, 280)
(280, 125, 115)
(54, 261, 114)
(261, 54, 226)
(70, 64, 53)
(70, 53, 288)
(290, 289, 280)
(289, 191, 280)
(21, 122, 124)
(122, 21, 20)
(126, 125, 123)
(125, 126, 127)
(107, 128, 129)
(128, 107, 74)
(77, 48, 75)
(75, 76, 77)
(50, 49, 53)
(53, 49, 40)
(52, 106, 51)
(51, 106, 27)
(29, 93, 28)
(28, 93, 22)
(76, 59, 30)
(76, 30, 77)
(25, 75, 48)
(25, 48, 135)
(135, 59, 25)
(59, 135, 30)
(58, 39, 1)
(39, 58, 26)
(45, 91, 44)
(5, 44, 91)
(8, 9, 11)
(11, 9, 10)
(33, 116, 117)
(116, 33, 18)
(133, 132, 110)
(110, 132, 54)
(134, 54, 118)
(54, 134, 110)
(19, 114, 31)
(114, 19, 55)
(16, 17, 15)
(15, 17, 41)
(17, 130, 41)
(41, 130, 56)
(130, 80, 56)
(56, 80, 81)
(15, 81, 16)
(16, 81, 80)
(68, 12, 112)
