(0.811198, 0.423849),  (0.689594, 0.423849),  (0.811198, 0.468764)
(0.811198, 0.468764),  (0.689594, 0.423849),  (0.689594, 0.468764)
(0.680688, 0.325832),  (0.384235, 0.325832),  (0.680688, 0.370748)
(0.680688, 0.370748),  (0.384235, 0.325832),  (0.384235, 0.370748)
(0.138897, 0.383421),  (0.086094, 0.993663),  (0.138897, 0.993663)
(0.086094, 0.993663),  (0.138897, 0.383421),  (0.086094, 0.383421)
(0.840832, 0.646799),  (0.840832, 0.498936),  (0.801773, 0.646799)
(0.801773, 0.646799),  (0.840832, 0.498936),  (0.801773, 0.498936)
(0.308855, 0.383421),  (0.256052, 0.993663),  (0.308855, 0.993663)
(0.256052, 0.993663),  (0.308855, 0.383421),  (0.256052, 0.383421)
(0.853505, 0.494277),  (0.861243, 0.553640),  (0.890418, 0.494277)
(0.890418, 0.494277),  (0.861243, 0.553640),  (0.882680, 0.553640)
(0.521444, 0.477327),  (0.401286, 0.465434),  (0.407535, 0.513420)
(0.521444, 0.477327),  (0.407535, 0.513420),  (0.516892, 0.524244)
(0.813512, 0.226180),  (0.854843, 0.171756),  (0.813512, 0.171756)
(0.854843, 0.171756),  (0.813512, 0.226180),  (0.854843, 0.264915)
(0.516892, 0.524244),  (0.407535, 0.513420),  (0.414968, 0.561523)
(0.516892, 0.524244),  (0.414968, 0.561523),  (0.517229, 0.571645)
(0.625310, 0.887453),  (0.522027, 0.827301),  (0.523049, 0.897574)
(0.522027, 0.827301),  (0.625310, 0.887453),  (0.629526, 0.816661)
(0.172625, 0.234903),  (0.006337, 0.237400),  (0.007960, 0.302570)
(0.172625, 0.234903),  (0.007960, 0.302570),  (0.172625, 0.313159)
(0.717536, 0.807310),  (0.717536, 0.655110),  (0.644431, 0.807310)
(0.644431, 0.807310),  (0.717536, 0.655110),  (0.644431, 0.655110)
(0.367361, 0.096414),  (0.367361, 0.205467),  (0.371362, 0.190311)
(0.371362, 0.190311),  (0.371362, 0.116504),  (0.367361, 0.096414)
(0.367361, 0.205467),  (0.412276, 0.205467),  (0.408275, 0.190311)
(0.408275, 0.190311),  (0.371362, 0.190311),  (0.367361, 0.205467)
(0.412276, 0.205467),  (0.412276, 0.096414),  (0.408275, 0.116504)
(0.408275, 0.116504),  (0.408275, 0.190311),  (0.412276, 0.205467)
(0.412276, 0.096414),  (0.367361, 0.096414),  (0.371362, 0.116504)
(0.371362, 0.116504),  (0.408275, 0.116504),  (0.412276, 0.096414)
(0.529332, 0.199076),  (0.580583, 0.199076),  (0.529332, 0.174944)
(0.529332, 0.174944),  (0.580583, 0.199076),  (0.580583, 0.174944)
(0.642199, 0.841463),  (0.642199, 0.993663),  (0.715303, 0.841463)
(0.715303, 0.841463),  (0.642199, 0.993663),  (0.715303, 0.993663)
(0.778848, 0.137646),  (0.778848, 0.159083),  (0.815654, 0.159083)
(0.778848, 0.137646),  (0.815654, 0.159083),  (0.815654, 0.137646)
(0.271220, 0.168553),  (0.271220, 0.205467),  (0.277962, 0.197728)
(0.277962, 0.197728),  (0.277962, 0.176292),  (0.271220, 0.168553)
(0.624973, 0.934853),  (0.523049, 0.897574),  (0.515617, 0.945677)
(0.523049, 0.897574),  (0.624973, 0.934853),  (0.625310, 0.887453)
(0.853505, 0.494277),  (0.853505, 0.646477),  (0.861243, 0.646799)
(0.861243, 0.646799),  (0.861243, 0.553640),  (0.853505, 0.494277)
(0.890418, 0.646477),  (0.890418, 0.494277),  (0.882680, 0.553640)
(0.882680, 0.553640),  (0.882680, 0.646799),  (0.890418, 0.646477)
(0.854843, 0.277588),  (0.813512, 0.316323),  (0.854843, 0.370748)
